[ 2017-03-17T16:38:47+08:00 ] /JSJD/admin.php/Login/login | INFO: Run TokenBuild Behavior [ RunTime:0.001558s ]
[ 2017-03-17T16:38:47+08:00 ] /JSJD/admin.php/Login/login | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001207s ]
[ 2017-03-17T16:38:47+08:00 ] /JSJD/admin.php/Login/login | INFO: Run ShowRuntime Behavior [ RunTime:0.001112s ]
[ 2017-03-17T16:38:47+08:00 ] /JSJD/admin.php/Login/login | INFO: Tag[ view_filter ] --END-- [ RunTime:0.005424s ]
[ 2017-03-17T16:38:47+08:00 ] /JSJD/admin.php/Login/login | INFO: Tag[ view_end ] --START--
[ 2017-03-17T16:38:47+08:00 ] /JSJD/admin.php/Login/login | INFO: Run ShowPageTrace Behavior [ RunTime:0.000931s ]
[ 2017-03-17T16:38:47+08:00 ] /JSJD/admin.php/Login/login | INFO: Tag[ view_end ] --END-- [ RunTime:0.001033s ]
[ 2017-03-17T16:38:48+08:00 ] /JSJD/admin.php | INFO: Tag[ app_begin ] --START--
[ 2017-03-17T16:38:48+08:00 ] /JSJD/admin.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000797s ]
[ 2017-03-17T16:38:48+08:00 ] /JSJD/admin.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000914s ]
[ 2017-03-17T16:38:48+08:00 ] /JSJD/admin.php | INFO: Tag[ view_template ] --START--
[ 2017-03-17T16:38:48+08:00 ] /JSJD/admin.php | INFO: Run LocationTemplate Behavior [ RunTime:0.020552s ]
[ 2017-03-17T16:38:48+08:00 ] /JSJD/admin.php | INFO: Tag[ view_template ] --END-- [ RunTime:0.020640s ]
[ 2017-03-17T16:38:48+08:00 ] /JSJD/admin.php | INFO: Tag[ view_parse ] --START--
[ 2017-03-17T16:38:48+08:00 ] /JSJD/admin.php | SQL: SHOW COLUMNS FROM `czxy_privilege` [ RunTime:0.010400s ]
[ 2017-03-17T16:38:48+08:00 ] /JSJD/admin.php | SQL: SHOW COLUMNS FROM `czxy_privilege` [ RunTime:0.010706s ]
[ 2017-03-17T16:38:48+08:00 ] /JSJD/admin.php | SQL: SELECT * FROM `czxy_privilege`  [ RunTime:0.000562s ]
[ 2017-03-17T16:38:48+08:00 ] /JSJD/admin.php | INFO: Run ParseTemplate Behavior [ RunTime:0.061871s ]
[ 2017-03-17T16:38:48+08:00 ] /JSJD/admin.php | INFO: Tag[ view_parse ] --END-- [ RunTime:0.061924s ]
[ 2017-03-17T16:38:48+08:00 ] /JSJD/admin.php | INFO: Tag[ view_filter ] --START--
[ 2017-03-17T16:38:48+08:00 ] /JSJD/admin.php | INFO: Run ContentReplace Behavior [ RunTime:0.000493s ]
[ 2017-03-17T16:38:48+08:00 ] /JSJD/admin.php | INFO: Run TokenBuild Behavior [ RunTime:0.000354s ]
[ 2017-03-17T16:38:48+08:00 ] /JSJD/admin.php | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000245s ]
[ 2017-03-17T16:38:48+08:00 ] /JSJD/admin.php | INFO: Run ShowRuntime Behavior [ RunTime:0.000442s ]
[ 2017-03-17T16:38:48+08:00 ] /JSJD/admin.php | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001650s ]
[ 2017-03-17T16:38:48+08:00 ] /JSJD/admin.php | INFO: Tag[ view_end ] --START--
[ 2017-03-17T16:38:48+08:00 ] /JSJD/admin.php | INFO: Run ShowPageTrace Behavior [ RunTime:0.000418s ]
[ 2017-03-17T16:38:48+08:00 ] /JSJD/admin.php | INFO: Tag[ view_end ] --END-- [ RunTime:0.000456s ]
[ 2017-03-17T16:38:48+08:00 ] /JSJD/admin.php/Index/copy | INFO: Tag[ route_check ] --START--
[ 2017-03-17T16:38:48+08:00 ] /JSJD/admin.php/Index/copy | INFO: Run CheckRoute Behavior [ RunTime:0.001164s ]
[ 2017-03-17T16:38:48+08:00 ] /JSJD/admin.php/Index/copy | INFO: Tag[ route_check ] --END-- [ RunTime:0.001241s ]
[ 2017-03-17T16:38:48+08:00 ] /JSJD/admin.php/Index/copy | INFO: Tag[ app_begin ] --START--
