[ 2017-03-09T10:57:51+08:00 ] /JSJD/admin.php/Adminrole/add | NOTIC: [8] Use of undefined constant id - assumed 'id' PrivilegeModel.class.php 第 31 行.
[ 2017-03-09T10:57:51+08:00 ] /JSJD/admin.php/Adminrole/add | INFO: Tag[ view_template ] --START--
[ 2017-03-09T10:57:51+08:00 ] /JSJD/admin.php/Adminrole/add | INFO: Run LocationTemplate Behavior [ RunTime:0.001097s ]
[ 2017-03-09T10:57:51+08:00 ] /JSJD/admin.php/Adminrole/add | INFO: Tag[ view_template ] --END-- [ RunTime:0.001152s ]
[ 2017-03-09T10:57:51+08:00 ] /JSJD/admin.php/Adminrole/add | INFO: Tag[ view_parse ] --START--
[ 2017-03-09T10:57:51+08:00 ] /JSJD/admin.php/Adminrole/add | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2017-03-09T10:57:51+08:00 ] /JSJD/admin.php/Adminrole/add | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-03-09T10:57:51+08:00 ] /JSJD/admin.php/Adminrole/add | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-03-09T10:57:51+08:00 ] /JSJD/admin.php/Adminrole/add | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-03-09T10:57:51+08:00 ] /JSJD/admin.php/Adminrole/add | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-03-09T10:57:51+08:00 ] /JSJD/admin.php/Adminrole/add | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-03-09T10:57:51+08:00 ] /JSJD/admin.php/Adminrole/add | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-03-09T10:57:51+08:00 ] /JSJD/admin.php/Adminrole/add | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-03-09T10:57:51+08:00 ] /JSJD/admin.php/Adminrole/add | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-03-09T10:57:51+08:00 ] /JSJD/admin.php/Adminrole/add | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
