[ 2017-02-15T10:11:07+08:00 ] /JSJD/admin.php/Login/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.000714s ]
[ 2017-02-15T10:11:07+08:00 ] /JSJD/admin.php/Login/verify | INFO: Tag[ route_check ] --START--
[ 2017-02-15T10:11:07+08:00 ] /JSJD/admin.php/Login/verify | INFO: Run CheckRoute Behavior [ RunTime:0.001350s ]
[ 2017-02-15T10:11:07+08:00 ] /JSJD/admin.php/Login/verify | INFO: Tag[ route_check ] --END-- [ RunTime:0.001458s ]
[ 2017-02-15T10:11:07+08:00 ] /JSJD/admin.php/Login/verify | INFO: Tag[ app_begin ] --START--
[ 2017-02-15T10:11:07+08:00 ] /JSJD/admin.php/Login/verify | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001490s ]
[ 2017-02-15T10:11:07+08:00 ] /JSJD/admin.php/Login/verify | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001555s ]
[ 2017-02-15T10:11:08+08:00 ] /JSJD/admin.php/Login/ | INFO: Tag[ route_check ] --START--
[ 2017-02-15T10:11:08+08:00 ] /JSJD/admin.php/Login/ | INFO: Run CheckRoute Behavior [ RunTime:0.001363s ]
[ 2017-02-15T10:11:08+08:00 ] /JSJD/admin.php/Login/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.001488s ]
[ 2017-02-15T10:11:08+08:00 ] /JSJD/admin.php/Login/ | INFO: Tag[ app_begin ] --START--
[ 2017-02-15T10:11:08+08:00 ] /JSJD/admin.php/Login/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001205s ]
[ 2017-02-15T10:11:08+08:00 ] /JSJD/admin.php/Login/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001277s ]
[ 2017-02-15T10:11:08+08:00 ] /JSJD/admin.php/Login/ | INFO: Tag[ view_template ] --START--
[ 2017-02-15T10:11:08+08:00 ] /JSJD/admin.php/Login/ | INFO: Run LocationTemplate Behavior [ RunTime:0.001199s ]
[ 2017-02-15T10:11:08+08:00 ] /JSJD/admin.php/Login/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.001269s ]
[ 2017-02-15T10:11:08+08:00 ] /JSJD/admin.php/Login/ | INFO: Tag[ view_parse ] --START--
[ 2017-02-15T10:11:08+08:00 ] /JSJD/admin.php/Login/ | INFO: Run ParseTemplate Behavior [ RunTime:0.008706s ]
[ 2017-02-15T10:11:08+08:00 ] /JSJD/admin.php/Login/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.008775s ]
[ 2017-02-15T10:11:08+08:00 ] /JSJD/admin.php/Login/ | INFO: Tag[ view_filter ] --START--
[ 2017-02-15T10:11:08+08:00 ] /JSJD/admin.php/Login/ | INFO: Run ContentReplace Behavior [ RunTime:0.000689s ]
[ 2017-02-15T10:11:08+08:00 ] /JSJD/admin.php/Login/ | INFO: Run TokenBuild Behavior [ RunTime:0.000774s ]
[ 2017-02-15T10:11:08+08:00 ] /JSJD/admin.php/Login/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000593s ]
[ 2017-02-15T10:11:08+08:00 ] /JSJD/admin.php/Login/ | INFO: Run ShowRuntime Behavior [ RunTime:0.001003s ]
[ 2017-02-15T10:11:08+08:00 ] /JSJD/admin.php/Login/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003237s ]
[ 2017-02-15T10:11:08+08:00 ] /JSJD/admin.php/Login/ | INFO: Tag[ view_end ] --START--
[ 2017-02-15T10:11:08+08:00 ] /JSJD/admin.php/Login/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.000792s ]
[ 2017-02-15T10:11:08+08:00 ] /JSJD/admin.php/Login/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.000850s ]
[ 2017-02-15T10:11:08+08:00 ] /JSJD/admin.php/Login/verify | INFO: Tag[ route_check ] --START--
[ 2017-02-15T10:11:08+08:00 ] /JSJD/admin.php/Login/verify | INFO: Run CheckRoute Behavior [ RunTime:0.001412s ]
[ 2017-02-15T10:11:08+08:00 ] /JSJD/admin.php/Login/verify | INFO: Tag[ route_check ] --END-- [ RunTime:0.001509s ]
[ 2017-02-15T10:11:08+08:00 ] /JSJD/admin.php/Login/verify | INFO: Tag[ app_begin ] --START--
[ 2017-02-15T10:11:08+08:00 ] /JSJD/admin.php/Login/verify | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001181s ]
[ 2017-02-15T10:11:08+08:00 ] /JSJD/admin.php/Login/verify | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001392s ]
[ 2017-02-15T10:17:12+08:00 ] /JSJD/admin.php/Login/ | INFO: Tag[ route_check ] --START--
[ 2017-02-15T10:17:12+08:00 ] /JSJD/admin.php/Login/ | INFO: Run CheckRoute Behavior [ RunTime:0.000829s ]
[ 2017-02-15T10:17:12+08:00 ] /JSJD/admin.php/Login/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.000901s ]
[ 2017-02-15T10:17:12+08:00 ] /JSJD/admin.php/Login/ | INFO: Tag[ app_begin ] --START--
[ 2017-02-15T10:17:12+08:00 ] /JSJD/admin.php/Login/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000658s ]
[ 2017-02-15T10:17:12+08:00 ] /JSJD/admin.php/Login/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000703s ]
[ 2017-02-15T10:17:12+08:00 ] /JSJD/admin.php/Login/ | INFO: Tag[ view_template ] --START--
[ 2017-02-15T10:17:12+08:00 ] /JSJD/admin.php/Login/ | INFO: Run LocationTemplate Behavior [ RunTime:0.000991s ]
[ 2017-02-15T10:17:12+08:00 ] /JSJD/admin.php/Login/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.001064s ]
[ 2017-02-15T10:17:12+08:00 ] /JSJD/admin.php/Login/ | INFO: Tag[ view_parse ] --START--
[ 2017-02-15T10:17:12+08:00 ] /JSJD/admin.php/Login/ | INFO: Run ParseTemplate Behavior [ RunTime:0.006704s ]
[ 2017-02-15T10:17:12+08:00 ] /JSJD/admin.php/Login/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.006761s ]
[ 2017-02-15T10:17:12+08:00 ] /JSJD/admin.php/Login/ | INFO: Tag[ view_filter ] --START--
[ 2017-02-15T10:17:12+08:00 ] /JSJD/admin.php/Login/ | INFO: Run ContentReplace Behavior [ RunTime:0.000571s ]
[ 2017-02-15T10:17:12+08:00 ] /JSJD/admin.php/Login/ | INFO: Run TokenBuild Behavior [ RunTime:0.000622s ]
[ 2017-02-15T10:17:12+08:00 ] /JSJD/admin.php/Login/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000548s ]
[ 2017-02-15T10:17:12+08:00 ] /JSJD/admin.php/Login/ | INFO: Run ShowRuntime Behavior [ RunTime:0.000939s ]
[ 2017-02-15T10:17:12+08:00 ] /JSJD/admin.php/Login/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002863s ]
[ 2017-02-15T10:17:12+08:00 ] /JSJD/admin.php/Login/ | INFO: Tag[ view_end ] --START--
[ 2017-02-15T10:17:12+08:00 ] /JSJD/admin.php/Login/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.000825s ]
[ 2017-02-15T10:17:12+08:00 ] /JSJD/admin.php/Login/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.000879s ]
[ 2017-02-15T10:17:12+08:00 ] /JSJD/admin.php/Login/verify | INFO: Tag[ route_check ] --START--
[ 2017-02-15T10:17:12+08:00 ] /JSJD/admin.php/Login/verify | INFO: Run CheckRoute Behavior [ RunTime:0.001746s ]
[ 2017-02-15T10:17:12+08:00 ] /JSJD/admin.php/Login/verify | INFO: Tag[ route_check ] --END-- [ RunTime:0.002077s ]
[ 2017-02-15T10:17:12+08:00 ] /JSJD/admin.php/Login/verify | INFO: Tag[ app_begin ] --START--
[ 2017-02-15T10:17:12+08:00 ] /JSJD/admin.php/Login/verify | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002830s ]
