[ 2017-04-06T17:05:38+08:00 ] /JSJD/admin.php/Login/login | INFO: Run TokenBuild Behavior [ RunTime:0.000734s ]
[ 2017-04-06T17:05:38+08:00 ] /JSJD/admin.php/Login/login | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000473s ]
[ 2017-04-06T17:05:38+08:00 ] /JSJD/admin.php/Login/login | INFO: Run ShowRuntime Behavior [ RunTime:0.000716s ]
[ 2017-04-06T17:05:38+08:00 ] /JSJD/admin.php/Login/login | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002644s ]
[ 2017-04-06T17:05:38+08:00 ] /JSJD/admin.php/Login/login | INFO: Tag[ view_end ] --START--
[ 2017-04-06T17:05:38+08:00 ] /JSJD/admin.php/Login/login | INFO: Run ShowPageTrace Behavior [ RunTime:0.001011s ]
[ 2017-04-06T17:05:38+08:00 ] /JSJD/admin.php/Login/login | INFO: Tag[ view_end ] --END-- [ RunTime:0.001164s ]
[ 2017-04-06T17:05:39+08:00 ] /JSJD/admin.php | INFO: Tag[ app_begin ] --START--
[ 2017-04-06T17:05:39+08:00 ] /JSJD/admin.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001133s ]
[ 2017-04-06T17:05:39+08:00 ] /JSJD/admin.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001297s ]
[ 2017-04-06T17:05:39+08:00 ] /JSJD/admin.php | INFO: Tag[ view_template ] --START--
[ 2017-04-06T17:05:39+08:00 ] /JSJD/admin.php | INFO: Run LocationTemplate Behavior [ RunTime:0.023245s ]
[ 2017-04-06T17:05:39+08:00 ] /JSJD/admin.php | INFO: Tag[ view_template ] --END-- [ RunTime:0.023355s ]
[ 2017-04-06T17:05:39+08:00 ] /JSJD/admin.php | INFO: Tag[ view_parse ] --START--
[ 2017-04-06T17:05:39+08:00 ] /JSJD/admin.php | SQL: SHOW COLUMNS FROM `czxy_privilege` [ RunTime:0.163767s ]
[ 2017-04-06T17:05:39+08:00 ] /JSJD/admin.php | SQL: SHOW COLUMNS FROM `czxy_privilege` [ RunTime:0.017548s ]
[ 2017-04-06T17:05:39+08:00 ] /JSJD/admin.php | SQL: SELECT * FROM `czxy_privilege`  [ RunTime:0.001474s ]
[ 2017-04-06T17:05:39+08:00 ] /JSJD/admin.php | INFO: Run ParseTemplate Behavior [ RunTime:0.222857s ]
[ 2017-04-06T17:05:39+08:00 ] /JSJD/admin.php | INFO: Tag[ view_parse ] --END-- [ RunTime:0.222930s ]
[ 2017-04-06T17:05:39+08:00 ] /JSJD/admin.php | INFO: Tag[ view_filter ] --START--
[ 2017-04-06T17:05:39+08:00 ] /JSJD/admin.php | INFO: Run ContentReplace Behavior [ RunTime:0.000743s ]
[ 2017-04-06T17:05:39+08:00 ] /JSJD/admin.php | INFO: Run TokenBuild Behavior [ RunTime:0.000803s ]
[ 2017-04-06T17:05:39+08:00 ] /JSJD/admin.php | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000691s ]
[ 2017-04-06T17:05:39+08:00 ] /JSJD/admin.php | INFO: Run ShowRuntime Behavior [ RunTime:0.000849s ]
[ 2017-04-06T17:05:39+08:00 ] /JSJD/admin.php | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003323s ]
[ 2017-04-06T17:05:39+08:00 ] /JSJD/admin.php | INFO: Tag[ view_end ] --START--
[ 2017-04-06T17:05:39+08:00 ] /JSJD/admin.php | INFO: Run ShowPageTrace Behavior [ RunTime:0.000755s ]
[ 2017-04-06T17:05:39+08:00 ] /JSJD/admin.php | INFO: Tag[ view_end ] --END-- [ RunTime:0.000820s ]
[ 2017-04-06T17:05:39+08:00 ] /JSJD/admin.php/Index/copy | INFO: Tag[ route_check ] --START--
[ 2017-04-06T17:05:39+08:00 ] /JSJD/admin.php/Index/copy | INFO: Run CheckRoute Behavior [ RunTime:0.001006s ]
[ 2017-04-06T17:05:39+08:00 ] /JSJD/admin.php/Index/copy | INFO: Tag[ route_check ] --END-- [ RunTime:0.001140s ]
[ 2017-04-06T17:05:39+08:00 ] /JSJD/admin.php/Index/copy | INFO: Tag[ app_begin ] --START--
[ 2017-04-06T17:05:39+08:00 ] /JSJD/admin.php/Index/copy | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000858s ]
[ 2017-04-06T17:05:39+08:00 ] /JSJD/admin.php/Index/copy | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000937s ]
[ 2017-04-06T17:05:39+08:00 ] /JSJD/admin.php/Index/copy | INFO: Tag[ view_template ] --START--
[ 2017-04-06T17:05:39+08:00 ] /JSJD/admin.php/Index/copy | INFO: Run LocationTemplate Behavior [ RunTime:0.001024s ]
[ 2017-04-06T17:05:39+08:00 ] /JSJD/admin.php/Index/copy | INFO: Tag[ view_template ] --END-- [ RunTime:0.001129s ]
[ 2017-04-06T17:05:39+08:00 ] /JSJD/admin.php/Index/copy | INFO: Tag[ view_parse ] --START--
[ 2017-04-06T17:05:40+08:00 ] /JSJD/admin.php/Index/copy | NOTIC: [2] mysql_get_server_info() [<a href='function.mysql-get-server-info'>function.mysql-get-server-info</a>]: Access denied for user ''@'localhost' (using password: NO) f50709f4c96babd9a294fb55fb5076ad.php 第 28 行.
[ 2017-04-06T17:05:40+08:00 ] /JSJD/admin.php/Index/copy | NOTIC: [2] mysql_get_server_info() [<a href='function.mysql-get-server-info'>function.mysql-get-server-info</a>]: A link to the server could not be established f50709f4c96babd9a294fb55fb5076ad.php 第 28 行.
[ 2017-04-06T17:05:40+08:00 ] /JSJD/admin.php/Index/copy | INFO: Run ParseTemplate Behavior [ RunTime:1.032501s ]
[ 2017-04-06T17:05:40+08:00 ] /JSJD/admin.php/Index/copy | INFO: Tag[ view_parse ] --END-- [ RunTime:1.032574s ]
[ 2017-04-06T17:05:40+08:00 ] /JSJD/admin.php/Index/copy | INFO: Tag[ view_filter ] --START--
[ 2017-04-06T17:05:40+08:00 ] /JSJD/admin.php/Index/copy | INFO: Run ContentReplace Behavior [ RunTime:0.000867s ]
[ 2017-04-06T17:05:40+08:00 ] /JSJD/admin.php/Index/copy | INFO: Run TokenBuild Behavior [ RunTime:0.000850s ]
[ 2017-04-06T17:05:40+08:00 ] /JSJD/admin.php/Index/copy | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000700s ]
[ 2017-04-06T17:05:40+08:00 ] /JSJD/admin.php/Index/copy | INFO: Run ShowRuntime Behavior [ RunTime:0.001523s ]
[ 2017-04-06T17:05:40+08:00 ] /JSJD/admin.php/Index/copy | INFO: Tag[ view_filter ] --END-- [ RunTime:0.004297s ]
[ 2017-04-06T17:05:40+08:00 ] /JSJD/admin.php/Index/copy | INFO: Tag[ view_end ] --START--
[ 2017-04-06T17:05:40+08:00 ] /JSJD/admin.php/Index/copy | INFO: Run ShowPageTrace Behavior [ RunTime:0.001058s ]
[ 2017-04-06T17:05:40+08:00 ] /JSJD/admin.php/Index/copy | INFO: Tag[ view_end ] --END-- [ RunTime:0.001183s ]
[ 2017-04-06T17:05:44+08:00 ] /JSJD/admin.php/System/webinfo | INFO: Tag[ route_check ] --START--
[ 2017-04-06T17:05:44+08:00 ] /JSJD/admin.php/System/webinfo | INFO: Run CheckRoute Behavior [ RunTime:0.000795s ]
[ 2017-04-06T17:05:44+08:00 ] /JSJD/admin.php/System/webinfo | INFO: Tag[ route_check ] --END-- [ RunTime:0.000891s ]
[ 2017-04-06T17:05:44+08:00 ] /JSJD/admin.php/System/webinfo | INFO: Tag[ app_begin ] --START--
[ 2017-04-06T17:05:44+08:00 ] /JSJD/admin.php/System/webinfo | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000647s ]
[ 2017-04-06T17:05:44+08:00 ] /JSJD/admin.php/System/webinfo | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000701s ]
[ 2017-04-06T17:05:44+08:00 ] /JSJD/admin.php/System/webinfo | SQL: SHOW COLUMNS FROM `czxy_privilege` [ RunTime:0.007049s ]
[ 2017-04-06T17:05:44+08:00 ] /JSJD/admin.php/System/webinfo | SQL: SHOW COLUMNS FROM `czxy_systemconfig` [ RunTime:0.053234s ]
[ 2017-04-06T17:05:44+08:00 ] /JSJD/admin.php/System/webinfo | SQL: SELECT * FROM `czxy_systemconfig` LIMIT 1   [ RunTime:0.000355s ]
[ 2017-04-06T17:05:44+08:00 ] /JSJD/admin.php/System/webinfo | INFO: Tag[ view_template ] --START--
[ 2017-04-06T17:05:44+08:00 ] /JSJD/admin.php/System/webinfo | INFO: Run LocationTemplate Behavior [ RunTime:0.000909s ]
[ 2017-04-06T17:05:44+08:00 ] /JSJD/admin.php/System/webinfo | INFO: Tag[ view_template ] --END-- [ RunTime:0.000969s ]
[ 2017-04-06T17:05:44+08:00 ] /JSJD/admin.php/System/webinfo | INFO: Tag[ view_parse ] --START--
[ 2017-04-06T17:05:44+08:00 ] /JSJD/admin.php/System/webinfo | NOTIC: [8] Undefined variable: title bf8cf6ef20d62dd510a10f400ea93687.php 第 5 行.
[ 2017-04-06T17:05:44+08:00 ] /JSJD/admin.php/System/webinfo | NOTIC: [8] Undefined variable: config bf8cf6ef20d62dd510a10f400ea93687.php 第 19 行.
[ 2017-04-06T17:05:44+08:00 ] /JSJD/admin.php/System/webinfo | NOTIC: [8] Undefined variable: config bf8cf6ef20d62dd510a10f400ea93687.php 第 25 行.
[ 2017-04-06T17:05:44+08:00 ] /JSJD/admin.php/System/webinfo | NOTIC: [8] Undefined variable: config bf8cf6ef20d62dd510a10f400ea93687.php 第 31 行.
[ 2017-04-06T17:05:44+08:00 ] /JSJD/admin.php/System/webinfo | NOTIC: [8] Undefined variable: config bf8cf6ef20d62dd510a10f400ea93687.php 第 32 行.
[ 2017-04-06T17:05:44+08:00 ] /JSJD/admin.php/System/webinfo | NOTIC: [8] Undefined variable: config bf8cf6ef20d62dd510a10f400ea93687.php 第 38 行.
[ 2017-04-06T17:05:44+08:00 ] /JSJD/admin.php/System/webinfo | NOTIC: [8] Undefined variable: config bf8cf6ef20d62dd510a10f400ea93687.php 第 39 行.
[ 2017-04-06T17:05:44+08:00 ] /JSJD/admin.php/System/webinfo | INFO: Run ParseTemplate Behavior [ RunTime:0.012975s ]
[ 2017-04-06T17:05:44+08:00 ] /JSJD/admin.php/System/webinfo | INFO: Tag[ view_parse ] --END-- [ RunTime:0.013032s ]
[ 2017-04-06T17:05:44+08:00 ] /JSJD/admin.php/System/webinfo | INFO: Tag[ view_filter ] --START--
[ 2017-04-06T17:05:44+08:00 ] /JSJD/admin.php/System/webinfo | INFO: Run ContentReplace Behavior [ RunTime:0.000736s ]
[ 2017-04-06T17:05:44+08:00 ] /JSJD/admin.php/System/webinfo | INFO: Run TokenBuild Behavior [ RunTime:0.000615s ]
[ 2017-04-06T17:05:44+08:00 ] /JSJD/admin.php/System/webinfo | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000640s ]
[ 2017-04-06T17:05:44+08:00 ] /JSJD/admin.php/System/webinfo | INFO: Run ShowRuntime Behavior [ RunTime:0.000863s ]
[ 2017-04-06T17:05:44+08:00 ] /JSJD/admin.php/System/webinfo | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003038s ]
[ 2017-04-06T17:05:44+08:00 ] /JSJD/admin.php/System/webinfo | INFO: Tag[ view_end ] --START--
[ 2017-04-06T17:05:44+08:00 ] /JSJD/admin.php/System/webinfo | INFO: Run ShowPageTrace Behavior [ RunTime:0.000642s ]
[ 2017-04-06T17:05:44+08:00 ] /JSJD/admin.php/System/webinfo | INFO: Tag[ view_end ] --END-- [ RunTime:0.000692s ]
[ 2017-04-06T17:05:46+08:00 ] /JSJD/admin.php/System/rotateimg | INFO: Tag[ route_check ] --START--
[ 2017-04-06T17:05:46+08:00 ] /JSJD/admin.php/System/rotateimg | INFO: Run CheckRoute Behavior [ RunTime:0.000774s ]
