[ 2017-02-21T11:40:05+08:00 ] /JSJD/admin.php/Login/index | INFO: Tag[ route_check ] --START--
[ 2017-02-21T11:40:05+08:00 ] /JSJD/admin.php/Login/index | INFO: Run CheckRoute Behavior [ RunTime:0.000908s ]
[ 2017-02-21T11:40:05+08:00 ] /JSJD/admin.php/Login/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.001082s ]
[ 2017-02-21T11:40:05+08:00 ] /JSJD/admin.php/Login/index | INFO: Tag[ app_begin ] --START--
[ 2017-02-21T11:40:05+08:00 ] /JSJD/admin.php/Login/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000607s ]
[ 2017-02-21T11:40:05+08:00 ] /JSJD/admin.php/Login/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000675s ]
[ 2017-02-21T11:40:06+08:00 ] /JSJD/admin.php/Login/index | INFO: Tag[ view_template ] --START--
[ 2017-02-21T11:40:06+08:00 ] /JSJD/admin.php/Login/index | INFO: Run LocationTemplate Behavior [ RunTime:0.001394s ]
[ 2017-02-21T11:40:06+08:00 ] /JSJD/admin.php/Login/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.001498s ]
[ 2017-02-21T11:40:06+08:00 ] /JSJD/admin.php/Login/index | INFO: Tag[ view_parse ] --START--
[ 2017-02-21T11:40:06+08:00 ] /JSJD/admin.php/Login/index | INFO: Run ParseTemplate Behavior [ RunTime:0.028951s ]
[ 2017-02-21T11:40:06+08:00 ] /JSJD/admin.php/Login/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.029030s ]
[ 2017-02-21T11:40:06+08:00 ] /JSJD/admin.php/Login/index | INFO: Tag[ view_filter ] --START--
[ 2017-02-21T11:40:06+08:00 ] /JSJD/admin.php/Login/index | INFO: Run ContentReplace Behavior [ RunTime:0.000823s ]
[ 2017-02-21T11:40:06+08:00 ] /JSJD/admin.php/Login/index | INFO: Run TokenBuild Behavior [ RunTime:0.001155s ]
[ 2017-02-21T11:40:06+08:00 ] /JSJD/admin.php/Login/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000838s ]
[ 2017-02-21T11:40:06+08:00 ] /JSJD/admin.php/Login/index | INFO: Run ShowRuntime Behavior [ RunTime:0.000849s ]
[ 2017-02-21T11:40:06+08:00 ] /JSJD/admin.php/Login/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003874s ]
[ 2017-02-21T11:40:06+08:00 ] /JSJD/admin.php/Login/index | INFO: Tag[ view_end ] --START--
[ 2017-02-21T11:40:06+08:00 ] /JSJD/admin.php/Login/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.000878s ]
[ 2017-02-21T11:40:06+08:00 ] /JSJD/admin.php/Login/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.000949s ]
[ 2017-02-21T11:40:06+08:00 ] /JSJD/admin.php/Login/verify | INFO: Tag[ route_check ] --START--
[ 2017-02-21T11:40:06+08:00 ] /JSJD/admin.php/Login/verify | INFO: Run CheckRoute Behavior [ RunTime:0.000532s ]
[ 2017-02-21T11:40:06+08:00 ] /JSJD/admin.php/Login/verify | INFO: Tag[ route_check ] --END-- [ RunTime:0.000618s ]
[ 2017-02-21T11:40:06+08:00 ] /JSJD/admin.php/Login/verify | INFO: Tag[ app_begin ] --START--
[ 2017-02-21T11:40:06+08:00 ] /JSJD/admin.php/Login/verify | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000564s ]
[ 2017-02-21T11:40:06+08:00 ] /JSJD/admin.php/Login/verify | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000615s ]
[ 2017-02-21T11:40:11+08:00 ] /JSJD/admin.php/Login/login | INFO: Tag[ route_check ] --START--
[ 2017-02-21T11:40:11+08:00 ] /JSJD/admin.php/Login/login | INFO: Run CheckRoute Behavior [ RunTime:0.000557s ]
[ 2017-02-21T11:40:11+08:00 ] /JSJD/admin.php/Login/login | INFO: Tag[ route_check ] --END-- [ RunTime:0.000650s ]
[ 2017-02-21T11:40:11+08:00 ] /JSJD/admin.php/Login/login | INFO: Tag[ app_begin ] --START--
[ 2017-02-21T11:40:11+08:00 ] /JSJD/admin.php/Login/login | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000416s ]
[ 2017-02-21T11:40:11+08:00 ] /JSJD/admin.php/Login/login | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000465s ]
[ 2017-02-21T11:40:11+08:00 ] /JSJD/admin.php/Login/login | NOTIC: [8] Undefined offset: 1 Action.class.php 第 233 行.
[ 2017-02-21T11:40:11+08:00 ] /JSJD/admin.php/Login/login | SQL: SHOW COLUMNS FROM `czxy_admin` [ RunTime:0.063723s ]
[ 2017-02-21T11:40:11+08:00 ] /JSJD/admin.php/Login/login | SQL: SELECT * FROM `czxy_admin` WHERE ( `adminusername` = 'admin' ) LIMIT 1   [ RunTime:0.001151s ]
[ 2017-02-21T11:40:11+08:00 ] /JSJD/admin.php/Login/login | NOTIC: [8] Use of undefined constant user - assumed 'user' LoginAction.class.php 第 37 行.
[ 2017-02-21T11:40:12+08:00 ] /JSJD/admin.php/Login/login | SQL: UPDATE `czxy_admin` SET `lasttime`=1487648411,`lastip`='127.0.0.1' WHERE ( `id` = '1' ) [ RunTime:0.059432s ]
