[ 2017-03-08T10:29:05+08:00 ] /JSJD/admin.php/Index/copy | INFO: Tag[ view_end ] --END-- [ RunTime:0.000813s ]
[ 2017-03-08T10:29:11+08:00 ] /JSJD/admin.php/Stu/index | INFO: Tag[ route_check ] --START--
[ 2017-03-08T10:29:11+08:00 ] /JSJD/admin.php/Stu/index | INFO: Run CheckRoute Behavior [ RunTime:0.000934s ]
[ 2017-03-08T10:29:11+08:00 ] /JSJD/admin.php/Stu/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.001024s ]
[ 2017-03-08T10:29:11+08:00 ] /JSJD/admin.php/Stu/index | INFO: Tag[ app_begin ] --START--
[ 2017-03-08T10:29:11+08:00 ] /JSJD/admin.php/Stu/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000592s ]
[ 2017-03-08T10:29:11+08:00 ] /JSJD/admin.php/Stu/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000643s ]
[ 2017-03-08T10:29:11+08:00 ] /JSJD/admin.php/Stu/index | SQL: SHOW COLUMNS FROM `czxy_privilege` [ RunTime:0.027849s ]
[ 2017-03-08T10:29:11+08:00 ] /JSJD/admin.php/Stu/index | SQL: SHOW COLUMNS FROM `czxy_stu` [ RunTime:0.106043s ]
[ 2017-03-08T10:29:11+08:00 ] /JSJD/admin.php/Stu/index | NOTIC: [8] Use of undefined constant czxy_ - assumed 'czxy_' Db.class.php(660) : regexp code 第 1 行.
[ 2017-03-08T10:29:11+08:00 ] /JSJD/admin.php/Stu/index | NOTIC: [8] Use of undefined constant czxy_ - assumed 'czxy_' Db.class.php(660) : regexp code 第 1 行.
[ 2017-03-08T10:29:11+08:00 ] /JSJD/admin.php/Stu/index | SQL: SELECT COUNT(*) AS tp_count FROM czxy_stu a LEFT JOIN czxy_stuinfo b ON b.stu_id=a.stuid
                       LEFT JOIN czxy_classinfo c ON c.id=b.cid 
                       LIMIT 1   [ RunTime:0.091275s ]
[ 2017-03-08T10:29:11+08:00 ] /JSJD/admin.php/Stu/index | NOTIC: [8] Use of undefined constant czxy_ - assumed 'czxy_' Db.class.php(660) : regexp code 第 1 行.
[ 2017-03-08T10:29:11+08:00 ] /JSJD/admin.php/Stu/index | NOTIC: [8] Use of undefined constant czxy_ - assumed 'czxy_' Db.class.php(660) : regexp code 第 1 行.
[ 2017-03-08T10:29:11+08:00 ] /JSJD/admin.php/Stu/index | SQL: SELECT a.id,a.stuid,b.stuname,b.face,c.name FROM czxy_stu a LEFT JOIN czxy_stuinfo b ON b.stu_id=a.stuid
                       LEFT JOIN czxy_classinfo c ON c.id=b.cid 
                        [ RunTime:0.000931s ]
[ 2017-03-08T10:29:11+08:00 ] /JSJD/admin.php/Stu/index | INFO: Tag[ view_template ] --START--
[ 2017-03-08T10:29:11+08:00 ] /JSJD/admin.php/Stu/index | INFO: Run LocationTemplate Behavior [ RunTime:0.004110s ]
[ 2017-03-08T10:29:11+08:00 ] /JSJD/admin.php/Stu/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.004292s ]
[ 2017-03-08T10:29:11+08:00 ] /JSJD/admin.php/Stu/index | INFO: Tag[ view_parse ] --START--
[ 2017-03-08T10:29:11+08:00 ] /JSJD/admin.php/Stu/index | NOTIC: [8] Use of undefined constant face - assumed 'face' 89e7c5728e5ea498b3ef0e92507bb26a.php 第 38 行.
[ 2017-03-08T10:29:11+08:00 ] /JSJD/admin.php/Stu/index | INFO: Run ParseTemplate Behavior [ RunTime:0.090588s ]
[ 2017-03-08T10:29:11+08:00 ] /JSJD/admin.php/Stu/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.090742s ]
[ 2017-03-08T10:29:11+08:00 ] /JSJD/admin.php/Stu/index | INFO: Tag[ view_filter ] --START--
[ 2017-03-08T10:29:11+08:00 ] /JSJD/admin.php/Stu/index | INFO: Run ContentReplace Behavior [ RunTime:0.000679s ]
[ 2017-03-08T10:29:11+08:00 ] /JSJD/admin.php/Stu/index | INFO: Run TokenBuild Behavior [ RunTime:0.000728s ]
[ 2017-03-08T10:29:11+08:00 ] /JSJD/admin.php/Stu/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000477s ]
[ 2017-03-08T10:29:11+08:00 ] /JSJD/admin.php/Stu/index | INFO: Run ShowRuntime Behavior [ RunTime:0.000830s ]
[ 2017-03-08T10:29:11+08:00 ] /JSJD/admin.php/Stu/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002982s ]
[ 2017-03-08T10:29:11+08:00 ] /JSJD/admin.php/Stu/index | INFO: Tag[ view_end ] --START--
[ 2017-03-08T10:29:11+08:00 ] /JSJD/admin.php/Stu/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.001094s ]
[ 2017-03-08T10:29:11+08:00 ] /JSJD/admin.php/Stu/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.001200s ]
[ 2017-03-08T11:06:34+08:00 ] /JSJD/admin.php/Stu/showQuality/id/2 | INFO: Tag[ route_check ] --START--
[ 2017-03-08T11:06:34+08:00 ] /JSJD/admin.php/Stu/showQuality/id/2 | INFO: Run CheckRoute Behavior [ RunTime:0.001894s ]
[ 2017-03-08T11:06:34+08:00 ] /JSJD/admin.php/Stu/showQuality/id/2 | INFO: Tag[ route_check ] --END-- [ RunTime:0.002097s ]
[ 2017-03-08T11:06:34+08:00 ] /JSJD/admin.php/Stu/showQuality/id/2 | INFO: Tag[ app_begin ] --START--
[ 2017-03-08T11:06:34+08:00 ] /JSJD/admin.php/Stu/showQuality/id/2 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001420s ]
[ 2017-03-08T11:06:34+08:00 ] /JSJD/admin.php/Stu/showQuality/id/2 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001484s ]
