[ 2017-06-06T11:13:27+08:00 ] /JSJD/mobile.php | INFO: Tag[ app_begin ] --START--
[ 2017-06-06T11:13:27+08:00 ] /JSJD/mobile.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000389s ]
[ 2017-06-06T11:13:27+08:00 ] /JSJD/mobile.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000462s ]
[ 2017-06-06T11:13:27+08:00 ] /JSJD/mobile.php | NOTIC: [8] Undefined index: sid functions.php 第 441 行.
[ 2017-06-06T11:13:28+08:00 ] /JSJD/mobile.php | NOTIC: [8192] mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead DbMysql.class.php 第 67 行.
[ 2017-06-06T11:13:28+08:00 ] /JSJD/mobile.php | SQL: SHOW COLUMNS FROM `czxy_systemconfig` [ RunTime:0.002142s ]
[ 2017-06-06T11:13:28+08:00 ] /JSJD/mobile.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-06-06T11:13:28+08:00 ] /JSJD/mobile.php | SQL: SELECT * FROM `czxy_systemconfig` WHERE ( `ckey` = 'rotateimg' )  [ RunTime:0.000319s ]
[ 2017-06-06T11:13:28+08:00 ] /JSJD/mobile.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-06-06T11:13:28+08:00 ] /JSJD/mobile.php | SQL: SELECT * FROM `czxy_systemconfig` WHERE ( `ckey` = 'rotateimg' )  [ RunTime:0.000276s ]
[ 2017-06-06T11:13:28+08:00 ] /JSJD/mobile.php | SQL: SHOW COLUMNS FROM `czxy_news` [ RunTime:0.005657s ]
[ 2017-06-06T11:13:28+08:00 ] /JSJD/mobile.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-06-06T11:13:28+08:00 ] /JSJD/mobile.php | SQL: SELECT `id`,`title`,`img`,`summary` FROM `czxy_news` ORDER BY sort DESC LIMIT 4   [ RunTime:0.000341s ]
[ 2017-06-06T11:13:28+08:00 ] /JSJD/mobile.php | SQL: SHOW COLUMNS FROM `czxy_partyactivity` [ RunTime:0.002043s ]
[ 2017-06-06T11:13:28+08:00 ] /JSJD/mobile.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
