[ 2017-03-28T09:26:14+08:00 ] /JSJD/index.php | INFO: Tag[ app_begin ] --START--
[ 2017-03-28T09:26:14+08:00 ] /JSJD/index.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000667s ]
[ 2017-03-28T09:26:14+08:00 ] /JSJD/index.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000763s ]
[ 2017-03-28T09:26:14+08:00 ] /JSJD/index.php | SQL: SHOW COLUMNS FROM `czxy_systemconfig` [ RunTime:0.005810s ]
[ 2017-03-28T09:26:14+08:00 ] /JSJD/index.php | SQL: SELECT * FROM `czxy_systemconfig` WHERE ( `ckey` = 'rotateimg' )  [ RunTime:0.000528s ]
[ 2017-03-28T09:26:14+08:00 ] /JSJD/index.php | INFO: Tag[ view_template ] --START--
[ 2017-03-28T09:26:14+08:00 ] /JSJD/index.php | INFO: Run LocationTemplate Behavior [ RunTime:0.000935s ]
[ 2017-03-28T09:26:14+08:00 ] /JSJD/index.php | INFO: Tag[ view_template ] --END-- [ RunTime:0.001000s ]
[ 2017-03-28T09:26:14+08:00 ] /JSJD/index.php | INFO: Tag[ view_parse ] --START--
[ 2017-03-28T09:26:14+08:00 ] /JSJD/index.php | NOTIC: [2] file_get_contents(./Index/Tpl/Public/top.html): failed to open stream: No such file or directory ThinkTemplate.class.php 第 702 行.
[ 2017-03-28T09:26:14+08:00 ] /JSJD/index.php | NOTIC: [2] file_get_contents(./Index/Tpl/Public/luenhuan.html): failed to open stream: No such file or directory ThinkTemplate.class.php 第 702 行.
[ 2017-03-28T09:26:14+08:00 ] /JSJD/index.php | NOTIC: [2] file_get_contents(./Index/Tpl/Public/footer.html): failed to open stream: No such file or directory ThinkTemplate.class.php 第 702 行.
[ 2017-03-28T09:26:14+08:00 ] /JSJD/index.php | INFO: Run ParseTemplate Behavior [ RunTime:0.012277s ]
[ 2017-03-28T09:26:14+08:00 ] /JSJD/index.php | INFO: Tag[ view_parse ] --END-- [ RunTime:0.012352s ]
[ 2017-03-28T09:26:14+08:00 ] /JSJD/index.php | INFO: Tag[ view_filter ] --START--
[ 2017-03-28T09:26:14+08:00 ] /JSJD/index.php | INFO: Run ContentReplace Behavior [ RunTime:0.000968s ]
[ 2017-03-28T09:26:14+08:00 ] /JSJD/index.php | INFO: Run TokenBuild Behavior [ RunTime:0.001256s ]
[ 2017-03-28T09:26:14+08:00 ] /JSJD/index.php | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000659s ]
[ 2017-03-28T09:26:14+08:00 ] /JSJD/index.php | INFO: Run ShowRuntime Behavior [ RunTime:0.000895s ]
[ 2017-03-28T09:26:14+08:00 ] /JSJD/index.php | INFO: Tag[ view_filter ] --END-- [ RunTime:0.004053s ]
[ 2017-03-28T09:26:14+08:00 ] /JSJD/index.php | INFO: Tag[ view_end ] --START--
[ 2017-03-28T09:26:14+08:00 ] /JSJD/index.php | INFO: Run ShowPageTrace Behavior [ RunTime:0.000969s ]
[ 2017-03-28T09:26:14+08:00 ] /JSJD/index.php | INFO: Tag[ view_end ] --END-- [ RunTime:0.001040s ]
[ 2017-03-28T09:27:42+08:00 ] /JSJD/index.php | INFO: Tag[ app_begin ] --START--
[ 2017-03-28T09:27:42+08:00 ] /JSJD/index.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000896s ]
[ 2017-03-28T09:27:42+08:00 ] /JSJD/index.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001011s ]
[ 2017-03-28T09:27:42+08:00 ] /JSJD/index.php | SQL: SHOW COLUMNS FROM `czxy_systemconfig` [ RunTime:0.006631s ]
[ 2017-03-28T09:27:42+08:00 ] /JSJD/index.php | SQL: SELECT * FROM `czxy_systemconfig` WHERE ( `ckey` = 'rotateimg' )  [ RunTime:0.000441s ]
[ 2017-03-28T09:27:42+08:00 ] /JSJD/index.php | INFO: Tag[ view_template ] --START--
[ 2017-03-28T09:27:42+08:00 ] /JSJD/index.php | INFO: Run LocationTemplate Behavior [ RunTime:0.000928s ]
[ 2017-03-28T09:27:42+08:00 ] /JSJD/index.php | INFO: Tag[ view_template ] --END-- [ RunTime:0.000981s ]
[ 2017-03-28T09:27:42+08:00 ] /JSJD/index.php | INFO: Tag[ view_parse ] --START--
[ 2017-03-28T09:27:42+08:00 ] /JSJD/index.php | NOTIC: [2] file_get_contents(./Index/Tpl/Public/top.html): failed to open stream: No such file or directory ThinkTemplate.class.php 第 702 行.
[ 2017-03-28T09:27:42+08:00 ] /JSJD/index.php | NOTIC: [2] file_get_contents(./Index/Tpl/Public/luenhuan.html): failed to open stream: No such file or directory ThinkTemplate.class.php 第 702 行.
[ 2017-03-28T09:27:42+08:00 ] /JSJD/index.php | NOTIC: [2] file_get_contents(./Index/Tpl/Public/footer.html): failed to open stream: No such file or directory ThinkTemplate.class.php 第 702 行.
[ 2017-03-28T09:27:42+08:00 ] /JSJD/index.php | INFO: Run ParseTemplate Behavior [ RunTime:0.010302s ]
[ 2017-03-28T09:27:42+08:00 ] /JSJD/index.php | INFO: Tag[ view_parse ] --END-- [ RunTime:0.010388s ]
[ 2017-03-28T09:27:42+08:00 ] /JSJD/index.php | INFO: Tag[ view_filter ] --START--
[ 2017-03-28T09:27:42+08:00 ] /JSJD/index.php | INFO: Run ContentReplace Behavior [ RunTime:0.000562s ]
[ 2017-03-28T09:27:42+08:00 ] /JSJD/index.php | INFO: Run TokenBuild Behavior [ RunTime:0.000880s ]
[ 2017-03-28T09:27:42+08:00 ] /JSJD/index.php | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000526s ]
[ 2017-03-28T09:27:42+08:00 ] /JSJD/index.php | INFO: Run ShowRuntime Behavior [ RunTime:0.000531s ]
[ 2017-03-28T09:27:42+08:00 ] /JSJD/index.php | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002632s ]
[ 2017-03-28T09:27:42+08:00 ] /JSJD/index.php | INFO: Tag[ view_end ] --START--
[ 2017-03-28T09:27:42+08:00 ] /JSJD/index.php | INFO: Run ShowPageTrace Behavior [ RunTime:0.000705s ]
[ 2017-03-28T09:27:42+08:00 ] /JSJD/index.php | INFO: Tag[ view_end ] --END-- [ RunTime:0.000768s ]
[ 2017-03-28T09:27:51+08:00 ] /JSJD/index.php | INFO: Tag[ app_begin ] --START--
[ 2017-03-28T09:27:51+08:00 ] /JSJD/index.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000865s ]
[ 2017-03-28T09:27:51+08:00 ] /JSJD/index.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001011s ]
[ 2017-03-28T09:27:51+08:00 ] /JSJD/index.php | SQL: SHOW COLUMNS FROM `czxy_systemconfig` [ RunTime:0.005980s ]
[ 2017-03-28T09:27:51+08:00 ] /JSJD/index.php | SQL: SELECT * FROM `czxy_systemconfig` WHERE ( `ckey` = 'rotateimg' )  [ RunTime:0.000465s ]
[ 2017-03-28T09:27:51+08:00 ] /JSJD/index.php | INFO: Tag[ view_template ] --START--
[ 2017-03-28T09:27:51+08:00 ] /JSJD/index.php | INFO: Run LocationTemplate Behavior [ RunTime:0.000805s ]
[ 2017-03-28T09:27:51+08:00 ] /JSJD/index.php | INFO: Tag[ view_template ] --END-- [ RunTime:0.000864s ]
[ 2017-03-28T09:27:51+08:00 ] /JSJD/index.php | INFO: Tag[ view_parse ] --START--
[ 2017-03-28T09:27:51+08:00 ] /JSJD/index.php | NOTIC: [2] file_get_contents(./Index/Tpl/Public/top.html): failed to open stream: No such file or directory ThinkTemplate.class.php 第 702 行.
[ 2017-03-28T09:27:51+08:00 ] /JSJD/index.php | NOTIC: [2] file_get_contents(./Index/Tpl/Public/luenhuan.html): failed to open stream: No such file or directory ThinkTemplate.class.php 第 702 行.
[ 2017-03-28T09:27:51+08:00 ] /JSJD/index.php | NOTIC: [2] file_get_contents(./Index/Tpl/Public/footer.html): failed to open stream: No such file or directory ThinkTemplate.class.php 第 702 行.
[ 2017-03-28T09:27:51+08:00 ] /JSJD/index.php | INFO: Run ParseTemplate Behavior [ RunTime:0.009147s ]
[ 2017-03-28T09:27:51+08:00 ] /JSJD/index.php | INFO: Tag[ view_parse ] --END-- [ RunTime:0.009207s ]
[ 2017-03-28T09:27:51+08:00 ] /JSJD/index.php | INFO: Tag[ view_filter ] --START--
[ 2017-03-28T09:27:51+08:00 ] /JSJD/index.php | INFO: Run ContentReplace Behavior [ RunTime:0.000600s ]
[ 2017-03-28T09:27:51+08:00 ] /JSJD/index.php | INFO: Run TokenBuild Behavior [ RunTime:0.000552s ]
[ 2017-03-28T09:27:51+08:00 ] /JSJD/index.php | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000435s ]
[ 2017-03-28T09:27:51+08:00 ] /JSJD/index.php | INFO: Run ShowRuntime Behavior [ RunTime:0.000535s ]
[ 2017-03-28T09:27:51+08:00 ] /JSJD/index.php | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002256s ]
[ 2017-03-28T09:27:51+08:00 ] /JSJD/index.php | INFO: Tag[ view_end ] --START--
[ 2017-03-28T09:27:51+08:00 ] /JSJD/index.php | INFO: Run ShowPageTrace Behavior [ RunTime:0.000637s ]
[ 2017-03-28T09:27:51+08:00 ] /JSJD/index.php | INFO: Tag[ view_end ] --END-- [ RunTime:0.000697s ]
[ 2017-03-28T09:27:52+08:00 ] /JSJD/index.php | INFO: Tag[ app_begin ] --START--
[ 2017-03-28T09:27:52+08:00 ] /JSJD/index.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000997s ]
[ 2017-03-28T09:27:52+08:00 ] /JSJD/index.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001149s ]
[ 2017-03-28T09:27:52+08:00 ] /JSJD/index.php | SQL: SHOW COLUMNS FROM `czxy_systemconfig` [ RunTime:0.006500s ]
[ 2017-03-28T09:27:52+08:00 ] /JSJD/index.php | SQL: SELECT * FROM `czxy_systemconfig` WHERE ( `ckey` = 'rotateimg' )  [ RunTime:0.000476s ]
[ 2017-03-28T09:27:52+08:00 ] /JSJD/index.php | INFO: Tag[ view_template ] --START--
[ 2017-03-28T09:27:52+08:00 ] /JSJD/index.php | INFO: Run LocationTemplate Behavior [ RunTime:0.000820s ]
[ 2017-03-28T09:27:52+08:00 ] /JSJD/index.php | INFO: Tag[ view_template ] --END-- [ RunTime:0.000876s ]
[ 2017-03-28T09:27:52+08:00 ] /JSJD/index.php | INFO: Tag[ view_parse ] --START--
[ 2017-03-28T09:27:52+08:00 ] /JSJD/index.php | NOTIC: [2] file_get_contents(./Index/Tpl/Public/top.html): failed to open stream: No such file or directory ThinkTemplate.class.php 第 702 行.
[ 2017-03-28T09:27:52+08:00 ] /JSJD/index.php | NOTIC: [2] file_get_contents(./Index/Tpl/Public/luenhuan.html): failed to open stream: No such file or directory ThinkTemplate.class.php 第 702 行.
[ 2017-03-28T09:27:52+08:00 ] /JSJD/index.php | NOTIC: [2] file_get_contents(./Index/Tpl/Public/footer.html): failed to open stream: No such file or directory ThinkTemplate.class.php 第 702 行.
[ 2017-03-28T09:27:52+08:00 ] /JSJD/index.php | INFO: Run ParseTemplate Behavior [ RunTime:0.014148s ]
[ 2017-03-28T09:27:52+08:00 ] /JSJD/index.php | INFO: Tag[ view_parse ] --END-- [ RunTime:0.014218s ]
